"Country","Landscape..","Household.ID","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing"
"RWA","L06","H4YdiXt5cz3",1092,600,655200,0,NA
"RWA","L06","HbRbhAKMLv3",260,600,156000,0,NA
"RWA","L06","jQRmJu3n453",208,600,124800,52000,1
"RWA","L06","JYjBoTCdte4",208,600,124800,0,NA
"RWA","L06","kKLu4qgLM62",624,600,374400,0,NA
"RWA","L06","kxErk1sYmQB",164,600,98400,0,NA
"RWA","L06","Lka6n6s87G",260,600,156000,0,NA
"RWA","L06","nny1kAHD1A6",364,600,218400,0,1
"RWA","L06","NpBRQomLNX3",140,600,84000,0,NA
"RWA","L06","NpVRwZSF9A9",336,600,201600,0,NA
"RWA","L06","PGN47oqwcT6",208,600,124800,0,NA
"RWA","L06","pYrS9Lnoio5",312,600,187200,0,NA
"RWA","L06","QLDaeeq1A6A",832,600,499200,0,NA
"RWA","L06","R5nJaf2Sop9",364,600,218400,0,NA
"RWA","L06","R9DTr4peJNA",272,600,163200,0,NA
"RWA","L06","to8Gc5JzaT7",988,600,592800,1000,0
"RWA","L06","vdieyWj8obA",488,600,292800,0,NA
"RWA","L06","XZQvXo5qT34",220,600,132000,0,NA
"RWA","L06","yaHQ7ni6ar4",572,600,343200,0,NA
"RWA","L06","YVG8nKF7bC4",468,600,280800,0,NA
"RWA","L07","1tDK7dEA7q4",208,600,124800,0,NA
"RWA","L07","3aT11RTk4H8",208,600,124800,0,NA
"RWA","L07","5FTsNB6cw66",208,600,124800,0,NA
"RWA","L07","8LgQmjxaed7",208,600,124800,0,NA
"RWA","L07","8QSNRiJbU45",208,600,124800,0,NA
"RWA","L07","8rMnuSjsKfA",208,600,124800,0,NA
"RWA","L07","9s7aPD8ZRh7",272,600,163200,0,NA
"RWA","L07","9yvw1XWDNpA",364,600,218400,0,NA
"RWA","L07","ah2mXHfB7w4",468,600,280800,0,NA
"RWA","L07","C3b2zHKsNU3",520,600,312000,0,NA
"RWA","L07","C56aeDFWPa7",52,600,31200,0,NA
"RWA","L07","CnrK9APvaT4",52,600,31200,0,NA
"RWA","L07","cQsxahQ8sm8",52,600,31200,0,NA
"RWA","L07","EhXFcHgzLr8",208,600,124800,0,NA
"RWA","L07","j3meptUjcsA",364,600,218400,0,NA
"RWA","L07","Kg7uwpdD4P5",260,600,156000,0,NA
"RWA","L07","mE3oDzqBqu4",428,600,256800,0,NA
"RWA","L07","MScBRdzkSi4",364,600,218400,0,NA
"RWA","L07","nkZFomM6JN2",280,600,168000,0,NA
"RWA","L07","NqznyHy6N16",324,600,194400,0,NA
"RWA","L07","ob6Go1epkY4",52,600,31200,0,NA
"RWA","L07","sohyYFGAMr9",260,600,156000,0,NA
"RWA","L07","tU6yMt3dHA3",312,600,187200,0,NA
"RWA","L07","tuxCwfbZQN9",260,600,156000,0,NA
"RWA","L07","TYoYR9fk5v3",416,600,249600,0,NA
"RWA","L07","vC1xGx4WFW",312,600,187200,0,NA
"RWA","L07","Wj18gYU55E5",520,600,312000,0,NA
"RWA","L07","WVpeXYVGNq8",312,600,187200,0,NA
"RWA","L07","yyXhtLq72C2",312,600,187200,0,NA
"RWA","L07","zywmeprmCJ6",208,600,124800,0,NA
"TZA","L03","41YTq8opiW8",52,1833.3335,95333.342,0,1
"TZA","L03","5R7zjWiS4o",156,1833.3335,286000.026,0,NA
"TZA","L03","8RDtceCXmi7",208,1833.3335,381333.368,0,NA
"TZA","L03","9WWgnSHHAA6",988,1833.3335,1811333.498,0,NA
"TZA","L03","dFX9VzkXhCA",312,1833.3335,572000.052,0,NA
"TZA","L03","e7KZhetzbx",156,1833.3335,286000.026,0,NA
"TZA","L03","Goj6tydZtp2",104,1833.3335,190666.684,0,1
"TZA","L03","hfEUg9n1AW4",52,1833.3335,95333.342,0,1
"TZA","L03","hwqvpwm7Wz7",52,1833.3335,95333.342,0,NA
"TZA","L03","j18hwWBcwh5",52,1833.3335,95333.342,40000,1
"TZA","L03","JdnGCqPhcWB",104,1833.3335,190666.684,0,NA
"TZA","L03","kjuUHkF5wTB",104,1833.3335,190666.684,78000,1
"TZA","L03","KkYJfxvuWf6",156,1833.3335,286000.026,40000,1
"TZA","L03","KyapRja3Pi6",104,1833.3335,190666.684,28000,1
"TZA","L03","KYf3aU1imH5",116,1833.3335,212666.686,0,NA
"TZA","L03","McAcYh2ZV69",572,1833.3335,1048666.762,0,NA
"TZA","L03","MLdLHWK2Qr",728,1833.3335,1334666.788,0,NA
"TZA","L03","N5cedWi9F35",208,1833.3335,381333.368,0,NA
"TZA","L03","NNkYVQpfzGB",52,1833.3335,95333.342,0,1
"TZA","L03","Nt5ok1nPNM7",208,1833.3335,381333.368,0,NA
"TZA","L03","onVKoJG2AfA",104,1833.3335,190666.684,0,1
"TZA","L03","rai72yodTZ7",104,1833.3335,190666.684,0,1
"TZA","L03","utcTs5LcPQ7",312,1833.3335,572000.052,0,NA
"TZA","L03","vCAfAwy9KTA",104,1833.3335,190666.684,0,1
"TZA","L03","x3YWH9QUug",156,1833.3335,286000.026,0,1
"TZA","L03","XaYWTVN67N4",104,1833.3335,190666.684,0,1
"TZA","L03","yLS96zjnvX6",104,1833.3335,190666.684,0,NA
"TZA","L03","ZaEAz3d3Dr6",260,1833.3335,476666.71,0,1
"TZA","L03","ZAZu9eYNzaA",156,1833.3335,286000.026,0,NA
"TZA","L03","znifEwvA5C4",104,1833.3335,190666.684,0,NA
"TZA","L10","2GJh9RvP6U3",104,1833.3335,190666.684,0,NA
"TZA","L10","6gioKTgu1a9",312,1833.3335,572000.052,0,0.5
"TZA","L10","7NvFkzHDPpA",52,1833.3335,95333.342,0,1
"TZA","L10","9ES5SSTauT6",108,1833.3335,198000.018,0,0
"TZA","L10","bbQXrXaEo96",156,1833.3335,286000.026,0,NA
"TZA","L10","Br9y98ZGdk8",52,1833.3335,95333.342,240000,1
"TZA","L10","dtBzhqj3kQA",416,1833.3335,762666.736,0,1
"TZA","L10","g2ZqebmF5z8",156,1833.3335,286000.026,0,NA
"TZA","L10","Gc14tmsJ7A3",104,1833.3335,190666.684,0,NA
"TZA","L10","gULVGjZq1b6",52,1833.3335,95333.342,0,NA
"TZA","L10","j5dyUZUjo25",16,1833.3335,29333.336,0,0
"TZA","L10","KqZvf5fBTQ7",52,1833.3335,95333.342,0,NA
"TZA","L10","kRcrpHwnrk4",52,1833.3335,95333.342,0,NA
"TZA","L10","LmNxHx7ukq2",52,1833.3335,95333.342,0,NA
"TZA","L10","LwsCZHjGPqA",156,1833.3335,286000.026,120000,1
"TZA","L10","mWbvKsGPM14",12,1833.3335,22000.002,0,1
"TZA","L10","N1YUZvnVaG5",104,1833.3335,190666.684,0,NA
"TZA","L10","nZ3uwA7syq7",156,1833.3335,286000.026,0,1
"TZA","L10","p5n6hjGyeL",208,1833.3335,381333.368,0,1
"TZA","L10","PZ5Q2bVsEX8",104,1833.3335,190666.684,0,0
"TZA","L10","qBummgzDBd8",156,1833.3335,286000.026,0,NA
"TZA","L10","qP3BigSRj28",104,1833.3335,190666.684,0,1
"TZA","L10","Rmvq4s33Ev8",260,1833.3335,476666.71,0,NA
"TZA","L10","SGWnjCX1hJ3",156,1833.3335,286000.026,40000,1
"TZA","L10","SUdaBvN6yMB",208,1833.3335,381333.368,0,NA
"TZA","L10","VpdWTmuL8k8",104,1833.3335,190666.684,0,NA
"TZA","L10","wXNS3oTZiX8",676,1833.3335,1239333.446,0,NA
"TZA","L10","yPna76R7KH6",104,1833.3335,190666.684,0,1
"TZA","L10","ZAXs3MY83J",468,1833.3335,858000.078,0,1
"TZA","L10","ZRuCufE5rt9",104,1833.3335,190666.684,304000,1
"TZA","L11","17tw28pAwD3",104,1833.3335,190666.684,0,1
"TZA","L11","2JxppdNdy1B",52,1833.3335,95333.342,0,NA
"TZA","L11","2tw7sF6jPB4",60,1833.3335,110000.01,20000,1
"TZA","L11","3bdaYKw2CU5",24,1833.3335,44000.004,0,NA
"TZA","L11","51brKTHzvAB",104,1833.3335,190666.684,0,NA
"TZA","L11","8bfdq81qVM8",156,1833.3335,286000.026,12000,1
"TZA","L11","BXfxdbawNd8",52,1833.3335,95333.342,0,NA
"TZA","L11","ckvwCyqWX59",52,1833.3335,95333.342,0,NA
"TZA","L11","CnNmmWuhuE4",104,1833.3335,190666.684,0,NA
"TZA","L11","eBi2TWWBfPA",104,1833.3335,190666.684,0,NA
"TZA","L11","ERzfUDJvVr5",104,1833.3335,190666.684,0,1
"TZA","L11","fMF9APviXm9",52,1833.3335,95333.342,0,NA
