"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"1b46c4d1-a324-45a4-b897-6cd9f80dd9f3","000","010",-9.29272,33.71231,"TZA",1.04042749412063,"TZA-000-010"
"1b4d79d0-0fab-462c-8482-317e164157cb","000","033",-1.15313,30.32682,"RWA",0.271713694779499,"RWA-000-033"
"1b74c194-3c3b-4aef-b8a7-89c49f1a1e73","000","353",6.26572,0.17346,"GHA",0,"GHA-000-353"
"1b7634e4-4b33-47e5-a986-451ffcc733db","000","182",-6.28529,36.70847,"TZA",0.578696633221395,"TZA-000-182"
"1c519079-68ee-44d2-9e8e-244d20a9f6b8","L06","005",5.73147,-0.50696,"GHA",0.088722839111673,"GHA-L06-005"
"1ca83547-427d-483d-b45a-925290ad452f","000","020",-1.58682,30.14648,"RWA",0.201186760680878,"RWA-000-020"
"1d7125d2-6913-491a-9fb6-63d7e8b2fb78","000","111",7.16373,-1.53271,"GHA",0.321185359961176,"GHA-000-111"
"1dc82f9a-d7d0-4735-b37a-e0d0bcac710b","000","100",-1.81798,30.35918,"RWA",0,"RWA-000-100"
"1e01bcda-247d-4dff-bf57-d27a7326dcad","000","064",6.1862,-0.67636,"GHA",0.721275422518945,"GHA-000-064"
"1e270ef0-aa16-4616-ba1c-b596c3a38794","000","075",-8.52239,31.21026,"TZA",1.9545639604506,"TZA-000-075"
"1e5a603d-f0ee-4205-8f5d-d8a3506a9a13","L19","008",-8.09468,36.5624,"TZA",2.47707319883147,"TZA-L19-008"
"1e75006c-d0ad-46cb-80b6-8e7453b3ee6f","000","061",6.91711,-1.26417,"GHA",0.0693147180559945,"GHA-000-061"
"1ed32ed5-d2b0-4eb7-8d3e-7b6300cfcb5e","000","001",-7.5908,33.38203,"TZA",1.71940126511332,"TZA-000-001"
"1f06ae3e-6555-4d1e-80d8-fd7fd85dabce","000","097",-0.83809,29.79424,"UGA",1.21055784417747,"UGA-000-097"
"1f86d894-0427-4f9e-ab0c-7d2241879ddf","000","037",-1.15563,30.35739,"RWA",0.102585782722872,"RWA-000-037"
"1fb5e3d7-d0c1-415d-a93e-96b1a866b381","L03","008",0.24253,32.14635,"UGA",0.555904038809076,"UGA-L03-008"
"1fe3f747-e690-4c31-9d4c-314f0f6a0a93","000","392",1.72451,31.97816,"UGA",1.58855221659628,"UGA-000-392"
"202228e5-7bed-41e2-bfad-93bb8172792f","000","358",-7.34998,31.7353,"TZA",1.84681587800441,"TZA-000-358"
"20756fd3-98ab-42f8-ace5-d6451aa615ff","000","238",-7.35247,37.16265,"TZA",0.490104062285514,"TZA-000-238"
"20f2f84b-2480-4689-9205-1277f262996d","000","281",-8.5184,35.0777,"TZA",2.03012382233347,"TZA-000-281"
"20fa6546-1f96-4423-b2c6-c94f9e996081","000","346",-9.07563,32.91542,"TZA",0,"TZA-000-346"
"210a6433-85d4-42ef-aab8-1e345c6deebd","000","130",-0.01168,31.41049,"UGA",0.503803030510663,"UGA-000-130"
"2184c863-907e-4709-b22f-012565f6ca95","000","242",-7.88976,38.36082,"TZA",1.19584463106501,"TZA-000-242"
"21cdd302-b3c2-4b25-8cc4-fc0d7ef8f44c","000","116",-1.70059,30.34031,"RWA",0,"RWA-000-116"
"21cde8a2-cced-429a-877a-1ed0dd2f158b","L03","009",7.73897,-0.89282,"GHA",1.05607561064489,"GHA-L03-009"
"21e1b60d-e039-4aa0-b7cc-1cf296c0d3d5","000","187",-6.64063,37.97661,"TZA",1.44239795437428,"TZA-000-187"
"21e34b5b-808f-457e-92be-884961bad55c","000","098",5.1007,-1.38914,"GHA",0,"GHA-000-098"
"21f78fdc-1c6f-4db4-962e-51facd97b6a4","L19","007",-8.06147,36.52455,"TZA",2.8906960500088,"TZA-L19-007"
"22032434-151e-4c08-aebc-efc54c806fcd","L07","001",2.42007,33.24035,"UGA",2.51245435600699,"UGA-L07-001"
"221909ad-b0ae-4da8-a64c-201bb3aed320","000","198",7.50367,-1.6608,"GHA",0,"GHA-000-198"
"2232f3e8-8e93-4082-a273-8f2063482991","000","234",9.26334,-1.12516,"GHA",0,"GHA-000-234"
"2257d232-9e08-4fcb-a054-79eabb8f7ad6","000","127",7.20487,0.25353,"GHA",1.03622486615297,"GHA-000-127"
"22639386-6f99-4211-83b5-885181cb18a5","000","109",0.58424,33.12907,"UGA",1.40013865492828,"UGA-000-109"
"229d0b61-6586-4bf3-894e-c8115206ad3b","000","121",-2.29233,30.81255,"RWA",0,"RWA-000-121"
"22a99ffb-5369-455f-a456-21c413bad8e3","000","090",-9.20863,34.40319,"TZA",0.898082750061324,"TZA-000-090"
"22b7a5c9-407d-46ef-a2e2-328fc3ca7828","L11","004",-10.05047,34.67768,"TZA",1.89079257246463,"TZA-L11-004"
"22d42a25-9892-4c5f-9f73-1cf338282976","000","078",0.19092,31.89936,"UGA",1.82215490707596,"UGA-000-078"
"22e6f4af-6197-41cb-8229-c7160efdba2f","000","147",-1.42804,29.73299,"RWA",0,"RWA-000-147"
"22ea33ea-a126-4c85-b30f-40ccf388a7e4","000","006",-0.81869,29.69675,"UGA",1.29111802147177,"UGA-000-006"
"22f63dc3-ba8a-4458-8b94-66f3e62ddc92","L02","001",9.90772,-0.82164,"GHA",1.66746193342929,"GHA-L02-001"
"230a5286-b9fa-4e9a-a03d-9f262747da3b","000","002",-8.09598,36.50402,"TZA",1.72867219520754,"TZA-000-002"
"237f5715-e770-453c-9567-72e3dfe960d8","000","045",2.67499,33.30429,"UGA",1.57805729745972,"UGA-000-045"
"23d5ca40-13aa-4d5b-849f-3ac926ce2092","L03","001",-1.97532,30.64819,"RWA",0,"RWA-L03-001"
"23dd4f82-cb3a-4741-aef1-b98f0667a640","000","095",-8.30053,36.68543,"TZA",0.809091451941621,"TZA-000-095"
"23df35a1-7097-4618-8b56-9ff0b623be33","000","128",-1.99891,30.66153,"RWA",0,"RWA-000-128"
"24157e95-0a8f-4522-a7b2-ea0d2e3b7510","000","028",-9.45915,34.751,"TZA",0,"TZA-000-028"
"243a6a17-b83a-4261-85e9-d00d7b9333d6","000","008",-8.09468,36.5624,"TZA",2.18832720522947,"TZA-000-008"
"2479d199-8b9f-4924-a59f-69867904e212","000","066",-2.0945,29.26939,"RWA",0,"RWA-000-066"
"2487348f-7cc7-435c-9716-38959040e26a","L02","009",9.87123,-0.83431,"GHA",0,"GHA-L02-009"
"24969b8e-b834-4fa9-8ce7-d0abaab56b62","L22","012",-8.10328,38.7718,"TZA",1.17175878263237,"TZA-L22-012"
